,Tweet Source,Tweet,Compound,Positive,Negative,Neutral,Tweets Ago
0,@BBC,🎣 @realbobmortimer and Paul Whitehouse share their personal and hilarious life experiences while travelling around… https://t.co/NeZ1V04R74,0.5994,0.246,0.0,0.754,0
1,@BBC,"🍷 @Rihanna. Wine glass stealer extraordinaire.
#TheGNShow https://t.co/no25tcxHJj",-0.4019,0.0,0.252,0.748,1
2,@BBC,"Discover Porthcawl Elvis Festival, the largest Elvis festival in the world... 

Mad About Elvis | 7:30pm | @BBCOne… https://t.co/JBFFZhtPMD",0.4939,0.271,0.136,0.593,2
3,@BBC,"Gaming addiction is listed as mental health condition for first time by @WHO.

How much is too much? https://t.co/hB16QHI6B8",0.0,0.0,0.0,1.0,3
4,@BBC,"RT @bbcworldservice: How the promise of dance lessons can keep children in school. 
 
@SunkitYole is just one of the nominees for the Outlo…",0.3182,0.095,0.0,0.905,4
5,@BBC,RT @bbcthesocial: Salih fled Syria and travelled all the way to Scotland. He designed a tattoo to illustrate his incredible journey 💙 #Worl…,0.0,0.0,0.0,1.0,5
6,@BBC,A baby boy who was born on a Paris commuter train has been given free rail travel until he is 25! 👶🇫🇷🎉… https://t.co/XeAeCBBjLj,0.5562,0.152,0.0,0.848,6
7,@BBC,"100 years after women won the right to vote, are we really any closer to true gender equality in 2018? @BBCArts ask… https://t.co/qrc2yQ5WqF",0.7579,0.236,0.0,0.764,7
8,@BBC,"How to have a baby, debone a chicken, and other life-changing YouTube hacks.
Because life's a little easier with th… https://t.co/2RC1zxgYb4",0.3626,0.129,0.0,0.871,8
9,@BBC,RT @BBC6MorningShow: #PeoplesPlaylist time - we've got a VERY important job for the @BBC6Music family c/o friend of this show Jo Milne (@jo…,0.7207,0.241,0.0,0.759,9
10,@BBC,🇯🇵⚽️🗑 Japanese football fans have impressed the world by meticulously cleaning up their rows and seats in the stadi… https://t.co/AGITQOknOI,0.4767,0.14,0.0,0.86,10
11,@BBC,"RT @BBCWales: When Darren 'Graceland' Jones becomes #Elvis, he touches the lives of many others by evoking memories... 

🎤 Our Lives: #MadA…",0.0,0.0,0.0,1.0,11
12,@BBC,"RT @bbcthree: Fatima lives in a refugee camp, but that's not stopping her will to succeed. #WorldRefugeeDay https://t.co/RnQJRDAY2y",0.7154,0.285,0.0,0.715,12
13,@BBC,"18 of the greatest moments in human civilisation.
#Civilisations https://t.co/naGsXLkC95",0.6369,0.318,0.0,0.682,13
14,@BBC,"🤔💭 'Jamais vu is the opposite of déjà vu.'

Eight things you *probably* haven't heard before about that funny feeli… https://t.co/SLnIksuK3u",0.4404,0.127,0.0,0.873,14
15,@BBC,Who knew Quidditch was a sport? https://t.co/VvZzXkTubL,0.0,0.0,0.0,1.0,15
16,@BBC,"Follow Inside Justice as they investigate the cases of convicted murderers who claim to be innocent.

#Conviction |… https://t.co/2FhNIkcgUH",0.128,0.222,0.165,0.613,16
17,@BBC,"The squirrel family is one of the most widespread on earth, so what is the secret to their success? 🐿

Natural Worl… https://t.co/bWRqIik7Vw",0.7351,0.228,0.0,0.772,17
18,@BBC,"Throwback to when #JodieWhittaker was revealed as the new Doctor in 2017. 

#HearHer @bbcdoctorwho https://t.co/Rm3uhZyyi1",0.0,0.0,0.0,1.0,18
19,@BBC,"🐿💚 Billy was rescued at just 5 days old. 
Would you foster a baby red squirrel?

#SuperSquirrels | 8pm | @BBCTwo https://t.co/GIi8cAUz6R",0.4215,0.141,0.0,0.859,19
20,@BBC,"RT @cbbc: Want to cover @England's @hkane in #WorldCup stickers?! Download the CBBC Buzz app here 👉 https://t.co/dcRAwvWtxs

@BBCSport @BBC…",0.1511,0.067,0.0,0.933,20
21,@BBC,"The Queen's granddaughter, Zara Tindall, has given birth to a baby girl. 👶

https://t.co/LBMmlTU2Fq https://t.co/5E6W6MzXW8",0.0,0.0,0.0,1.0,21
22,@BBC,"RT @BBCOne: When a training exercise in Belize goes wrong, Captain James and Georgie find themselves in danger.

@michkeegan and @benaldrid…",-0.7579,0.0,0.265,0.735,22
23,@BBC,"The world's oldest known Sumatran orangutan has died in an Australian zoo aged 62, leaving behind 54 descendants.
👉… https://t.co/ot0RvvMGaY",-0.5574,0.0,0.159,0.841,23
24,@BBC,"Meet the England football fan who has been to every World Cup since Mexico '86 ⚽️

https://t.co/z3ZSmB0IWH https://t.co/Ei6hN1wk9Q",-0.0772,0.11,0.124,0.766,24
25,@BBC,"It is an omelette? Is it a beef slice? No, it's @Rihanna's dress at the Met Gala.
#TheGNShow https://t.co/HjWmICH6zV",-0.3736,0.0,0.131,0.869,25
26,@BBC,"'Hope for the best, be prepared for the worst and expect nothing.'

10 incredible #MayaAngelou quotes to live your… https://t.co/qzG9hDHZJj",0.5994,0.309,0.141,0.55,26
27,@BBC,✈️ Electric plane takes to the skies as Norway bids to combat climate change. https://t.co/wrjHlVhAZJ,-0.34,0.0,0.146,0.854,27
28,@BBC,"RT @BBC_Teach: BBC Bitesize is 20 🙌🎉 !
To celebrate, tell us your Bitesize story. Did you use Bitesize to pass your exams? Do you use Bites…",0.6114,0.138,0.0,0.862,28
29,@BBC,RT @TWBBC: Should we bring the woolly mammoth back from the dead? Or should we use the same technology to better protect endangered species…,0.0516,0.179,0.14,0.682,29
30,@BBC,"RT @BBCSport: ✅ 18.3 million on @BBCOne 
✅ 3 million online streams
✅ More viewers than the royal wedding
✅ England win

Thanks for joining…",0.7717,0.165,0.0,0.835,30
31,@BBC,"Faced with extreme weather, Bolivian farmers are going underground. #BBCTakingTheTemperature https://t.co/ocATWI0jPL",0.0,0.0,0.0,1.0,31
32,@BBC,"Antarctica has lost three trillion tonnes of ice in 25 years.
👉 https://t.co/lzm3BAGQRi https://t.co/ryqk634l6a",-0.3182,0.0,0.126,0.874,32
33,@BBC,They survived the Ice Age but today saiga antelopes are struggling. https://t.co/IPU5smfklg,-0.3716,0.136,0.233,0.631,33
34,@BBC,"RT @BBCOne: This. Will. Hurt.

@IdrisElba returns as the inimitable DCI #Luther. Coming soon to @BBCOne. https://t.co/FO9GM9yurk",-0.5267,0.0,0.175,0.825,34
35,@BBC,"Monologues inspired by women who have spoken out, challenged the status quo or made a stand - often at great person… https://t.co/kkpLMaYB7X",0.7845,0.284,0.054,0.661,35
36,@BBC,"🎧❤️ Casey dreams of one day playing in Ibiza. 
(via @BBCThree) https://t.co/sxEqTuiekr",0.5423,0.31,0.0,0.69,36
37,@BBC,"Tonight, @GaryLineker introduces live coverage from the #WorldCup as England take on Africa's highest-ranked team.… https://t.co/qGO8XWrMsB",0.0,0.0,0.0,1.0,37
38,@BBC,"✊ @StaceyDooley investigates the changing face of women's protests. 
#HearHer https://t.co/77aW9jzlE0",-0.2263,0.0,0.147,0.853,38
